Club Name,Number of Videos,County,Province,Country,Latitude,Longitude,Matched
Derrygonnelly Harps,482,Fermanagh,Ulster,United Kingdom,54.42193800,-7.82769600,Yes
Eastern Harps,261,Sligo,Connacht,Ireland,54.04398100,-8.44655000,Yes
Innyboys,253,,,Ireland,,,No
DONAGHMORE/ASHBOURNE GAA CLUB,200,Meath,Leinster,Ireland,53.50943000,-6.41049400,Yes
Confey,185,Kildare,Leinster,Ireland,53.37455100,-6.48188800,Yes
Derrylauglan Kevin Barry's GAC,179,,,Ireland,,,No
Dunshaughlin & Royal Gaels GAA,176,,,Ireland,,,No
Elite performances,169,,,Ireland,,,No
Dublin GAA,155,,,Ireland,,,No
Lavey,152,,,Ireland,,,No
Davitts,134,Mayo,Connacht,Ireland,53.67240000,-8.95848000,Yes
Dungannon Thomas Clarkes GFC,127,,,Ireland,,,No
Erin's Isle,121,Dublin,Leinster,Ireland,53.38427200,-6.29786800,Yes
Rosemount Gaa,119,Westmeath,Leinster,Ireland,53.42747700,-7.64205200,Yes
Fermoy,113,Cork,Munster,Ireland,52.14396900,-8.27429200,Yes
Ederney St Josephs,113,Wexford,Leinster,Ireland,52.32013800,-6.47303400,Fuzzy
Eskra Emmetts,103,,,Ireland,,,No
Faughanvale,102,,,Ireland,,,No
Fionntamhnach na Piarsaigh,94,Limerick,Munster,Ireland,52.66982600,-8.67014000,Fuzzy
Allen Gaels,94,Leitrim,Connacht,Ireland,54.04481100,-8.03151900,Fuzzy
Galbally Pearses,94,,,Ireland,,,No
Drumragh Sarsfields GAC,89,,,Ireland,,,No
Cumann Peile Mhaigh Cuilinn,85,,,Ireland,,,No
Daingean Gaa,82,Offaly,Leinster,Ireland,53.30202400,-7.29189400,Yes
Drumbaragh Emmets GFC,81,,,Ireland,,,No
JohnstownBridge GFC,80,,,Ireland,,,No
Garristown,78,Dublin,Leinster,Ireland,53.56630200,-6.37707400,Yes
Cooley Kickhams,76,Louth,Leinster,Ireland,54.01004700,-6.16927300,Yes
Connacht GAA Center of Excellence,74,,,Ireland,,,No
Firies Gaa,73,Kerry,Munster,Ireland,52.17321300,-9.54703200,Yes
Dromcollogher/Broadford GAA,73,Limerick,Munster,Ireland,52.34403700,-8.91700800,Yes
Glen Emmets GFC,73,,,Ireland,,,No
Donaghmoyne GFC,70,,,Ireland,,,No
Galway Hurling,70,,,Ireland,,,No
Cordal GAA Club,68,Kerry,Munster,Ireland,52.22178700,-9.38227300,Yes
Gaelic Athletic Academy,66,,,Ireland,,,No
Adrigole,65,Cork,Munster,Ireland,51.68447500,-9.71232300,Yes
Glenville,65,Cork,Munster,Ireland,52.04910000,-8.42373500,Yes
Dún Beag GAA,63,,,Ireland,,,No
Dromore St. Dympna's GFC,63,,,Ireland,,,No
Dundalk Young Irelanders GFC,63,,,Ireland,,,No
Glencar Manor,63,,,Ireland,,,No
Colmcille GFC,62,,,Ireland,,,No
Fr.Caseys GAA Club,61,,,Ireland,,,No
Gowna,60,Cavan,Ulster,Ireland,53.86601000,-7.55006700,Yes
Erne Gaels,57,,,Ireland,,,No
Emyvale,57,Monaghan,Ulster,Ireland,54.33111000,-6.94787700,Yes
Greencastle,56,,,Ireland,,,No
Greenlough GAC,56,,,Ireland,,,No
Eastern Gaels,56,Mayo,Connacht,Ireland,53.72397800,-8.87638800,Yes
Aghada,55,Cork,Munster,Ireland,51.84775400,-8.19324400,Yes
Glasgow Gaels,55,,,Ireland,,,No
Islandeady GAA,54,Mayo,Connacht,Ireland,53.82640800,-9.40437900,Yes
Coolera Strandhill GAA,54,Sligo,Connacht,Ireland,54.24474000,-8.54230000,Yes
Hollymount Carramore Gaa,53,Mayo,Connacht,Ireland,53.68630000,-9.08460000,Yes
Gaeil Colmcille,53,Meath,Leinster,Ireland,53.71987000,-6.88017400,Yes
Cobh GAA,53,Cork,Munster,Ireland,51.85638500,-8.28533800,Yes
Aghyaran,52,,,Ireland,,,No
Four Masters,52,Donegal,Ulster,Ireland,54.65542200,-8.12258100,Yes
Na Fianna,49,Dublin,Leinster,Ireland,53.37476900,-6.26431900,Yes
Allenwood,49,Kildare,Leinster,Ireland,53.29000200,-6.87351100,Yes
Gneeveguilla GAA,49,Kerry,Munster,Ireland,52.11971900,-9.27189300,Yes
Dromore Ladies GFC,48,,,Ireland,,,No
Drumcliffe/Rosses Point GAA,47,Sligo,Connacht,Ireland,54.33990000,-8.51937000,Yes
Drumquin GFC,47,,,Ireland,,,No
Currow GAA,47,Kerry,Munster,Ireland,52.18001600,-9.50772700,Yes
Coláiste Bhaile Chláir,47,,,Ireland,,,No
Devenish St Mary's GAA,46,Cork,Munster,Ireland,51.73542000,-8.93735900,Fuzzy
Ellistown GAA,46,Kildare,Leinster,Ireland,53.18479200,-6.98475800,Yes
Cross Rangers,42,,,Ireland,,,No
Enniskillen Gaels,41,Fermanagh,Ulster,United Kingdom,54.35102200,-7.63484300,Yes
Derrynoose St. Mochuas GAC,40,,,Ireland,,,No
Dunmore MacHales GFC,39,Galway,Connacht,Ireland,53.61512800,-8.74291000,Fuzzy
Hertfordshire,39,,,Ireland,,,No
Glenariffe,38,,,Ireland,,,No
Duleek Bellewstown GFC,37,Meath,Leinster,Ireland,53.65446100,-6.43365700,Fuzzy
Dublin Camogie,36,,,Ireland,,,No
Gleann Éallaigh,36,,,Ireland,,,No
Annaclone GAC,35,,,Ireland,,,No
GlynnBarntown,35,,,Ireland,,,No
Gweedore Celtic,34,,,Ireland,,,No
Coláiste Mhuire Secondary School Mullingar,34,,,Ireland,,,No
Graiguecullen,32,Laois,Leinster,Ireland,52.84188100,-6.94229600,Yes
Cargin,32,,,Ireland,,,No
Aghabog,32,,,Ireland,,,No
Derrylin O'Connells,31,,,Ireland,,,No
Glenamaddy GAA,31,,,Ireland,,,No
High Moss Sarsfields GFC,30,,,Ireland,,,No
Adamstown,28,,,Ireland,,,No
GAA,28,,,Ireland,,,No
Dreadnots GFC,27,,,Ireland,,,No
Duagh GAA,27,Kerry,Munster,Ireland,52.41221800,-9.38900800,Yes
Dungourney GAA,27,Cork,Munster,Ireland,51.98152400,-8.10167900,Yes
Cortown GAA,26,Meath,Leinster,Ireland,53.68419100,-6.85162100,Yes
Eoghan Rua CLG Coleraine,25,Derry,Ulster,United Kingdom,55.16456200,-6.69576400,Fuzzy
Cullen GAA,25,Cork,Munster,Ireland,52.11446900,-9.12535200,Yes
Bantry Blues,23,Cork,Munster,Ireland,51.68806400,-9.44768900,Yes
Hunterstown Rovers GAA,23,Louth,Leinster,Ireland,53.82556300,-6.53135700,Yes
Aghabullogue GAA,23,Cork,Munster,Ireland,51.90673600,-8.78697500,Yes
Hollywood Wicklow GAA,22,,,Ireland,,,No
Clyda Rovers GAA Club,22,Cork,Munster,Ireland,52.08221700,-8.62940400,Yes
Erins Own,21,Kilkenny,Leinster,Ireland,52.78429400,-7.21402500,Yes
Glenamaddy GAA 2,21,,,Ireland,,,No
Darragh Cross,20,Down,Ulster,United Kingdom,54.44868400,-5.75750100,Fuzzy
Aghadrumsee GAC,20,,,Ireland,,,No
Galway GAA,20,,,Ireland,,,No
Coolaney/Mullinabreena,20,Sligo,Connacht,Ireland,54.09545000,-8.66044000,Yes
Dromin Athlacca GAA,19,Limerick,Munster,Ireland,52.45619400,-8.64563000,Yes
Fuerty GAA Club,18,Roscommon,Connacht,Ireland,53.58985400,-8.31149400,Yes
Doohamlet O'Neills GFC,16,Monaghan,Ulster,Ireland,54.13041400,-6.81889000,Fuzzy
Curry GAA,16,Sligo,Connacht,Ireland,54.00540000,-8.78480000,Yes
Emyvale Gaa Club,16,Monaghan,Ulster,Ireland,54.33111000,-6.94787700,Yes
Granemore,15,,,Ireland,,,No
Henry Joy McCracken's Moneymore,15,,,Ireland,,,No
Glanworth GAA,15,,,Ireland,,,No
Glinsk GAA,15,,,Ireland,,,No
Good Counsel Liffey Gaels,14,Dublin,Leinster,Ireland,53.33575200,-6.30685900,Fuzzy
Derrygonnelly Harps Ladies,14,Fermanagh,Ulster,United Kingdom,54.42193800,-7.82769600,Fuzzy
Crossmolina Deel Rovers GAA,13,Mayo,Connacht,Ireland,54.10482940,-9.30720934,Yes
JHSD,13,,,Ireland,,,No
Drumgath GAC,12,,,Ireland,,,No
Scotland GAA Men,12,,,Ireland,,,No
Greystones,11,,,Ireland,,,No
hurling team in cork,11,,,Ireland,,,No
Dunsany GAA Club,11,Meath,Leinster,Ireland,53.54587200,-6.61817700,Yes
Eire Og Greystones,11,Wicklow,Leinster,Ireland,53.13253100,-6.06647900,Yes
Calry,11,,,Ireland,,,No
Cortoon Shamrocks,10,Galway,Connacht,Ireland,53.56547000,-8.79935100,Yes
Milltown-Castlemaine,261,Kerry,Munster,Ireland,52.15025900,-9.71619300,Yes
St Judes,224,Dublin,Leinster,Ireland,53.29558900,-6.33054700,Yes
Austin Stacks GAA,192,Kerry,Munster,Ireland,52.27660400,-9.71299700,Yes
Castlebar Mitchels GAA,191,Mayo,Connacht,Ireland,53.85295400,-9.28317700,Yes
Ballyhooly G.A.A,189,,,Ireland,,,No
Killucan GAA,174,Westmeath,Leinster,Ireland,53.51101100,-7.13533700,Yes
Atlético Kingston VEO3,165,,,Ireland,,,No
Loughmacrory Gfc,161,,,Ireland,,,No
Castlehaven GAA,161,Cork,Munster,Ireland,51.55498590,-9.14531350,Yes
Ballyfermot Gaels GAA,158,,,Ireland,,,No
St. Kevin's,156,Kildare,Leinster,Ireland,53.33102700,-6.76095900,Yes
Meath GAA,148,Meath,Leinster,Ireland,53.64980400,-6.69630100,Yes
Claregalway GAA,134,,,Ireland,,,No
Bective GFC,134,,,Ireland,,,No
Claremorris GAA,127,Mayo,Connacht,Ireland,53.72238200,-8.99457000,Yes
Clones GFC,123,,,Ireland,,,No
Ballymac GAA,122,,,Ireland,,,No
Kilmeena GAA Club,121,Mayo,Connacht,Ireland,53.84113400,-9.58139700,Yes
Balla GAA,120,Mayo,Connacht,Ireland,53.80312000,-9.14206000,Yes
Ballinascreen,116,,,Ireland,,,No
Cloyne GAA,113,Cork,Munster,Ireland,51.86534400,-8.12108200,Yes
Monivea Abbey GFC,112,,,Ireland,,,No
Bredagh GAC,110,,,Ireland,,,No
Cappagh GAA Club,108,Limerick,Munster,Ireland,52.55223300,-8.93794100,Yes
Mayo Gaels GAA club,106,Mayo,Connacht,Ireland,53.76337800,-9.11822300,Yes
Meath Hill,105,Meath,Leinster,Ireland,53.88772800,-6.71377400,Yes
Blackhall Gaels,98,Meath,Leinster,Ireland,53.47315700,-6.54526300,Yes
Mayo GAA,98,Mayo,Connacht,Ireland,53.85351800,-9.28857700,Yes
Kilkenny Camogie,97,,,Ireland,,,No
The Emmets,96,,,Ireland,,,No
Desmonds,96,,,Ireland,,,No
Atlético Kingston VEO2,96,,,Ireland,,,No
Boherbue GAA,94,Cork,Munster,Ireland,52.15302700,-9.07861000,Yes
Clann NaGael,93,,,Ireland,,,No
Knockmore,90,Mayo,Connacht,Ireland,54.02550400,-9.17622500,Yes
Athgarvan GAA,89,Kildare,Leinster,Ireland,53.14889900,-6.80098900,Yes
Bishopstown GAA,88,Cork,Munster,Ireland,51.88461200,-8.52159300,Yes
Brosna G.A.A.,87,,,Ireland,,,No
Ardagh,87,Mayo,Connacht,Ireland,54.12397000,-9.25255500,Yes
Naomh Columba,84,Donegal,Ulster,Ireland,54.71061700,-8.73238400,Fuzzy
Mullaghbawn,80,,,Ireland,,,No
Moortown St Malachys,79,,,Ireland,,,No
Carnaross mens adult,77,,,Ireland,,,No
Augher GFC,75,,,Ireland,,,No
Bearna GAA,74,,,Ireland,,,No
Ballyholland,73,,,Ireland,,,No
Monaleen GAA Club,67,Limerick,Munster,Ireland,52.65566600,-8.55446400,Yes
Clonakilty Gaa,66,Cork,Munster,Ireland,51.62119300,-8.92550900,Yes
The Blues,64,,,Ireland,,,No
Magheracloone,64,,,Ireland,,,No
Moneyglass GAC,64,,,Ireland,,,No
Bray Emmets,62,Wicklow,Leinster,Ireland,53.20774600,-6.12736000,Yes
Middletown GAA Club,61,,,Ireland,,,No
Killinkere GFC,61,,,Ireland,,,No
Kiltubrid,60,Leitrim,Connacht,Ireland,54.03431200,-7.94792000,Yes
Moynalty GFC,59,,,Ireland,,,No
Cuchulainns,58,Cavan,Ulster,Ireland,53.80869300,-6.93889700,Yes
Belnaleck GAC,58,,,Ireland,,,No
Carrickedmond GAA,58,Longford,Leinster,Ireland,53.60234400,-7.71144000,Yes
Knock GAA,58,Tipperary,Munster,Ireland,52.84438400,-7.76485200,Yes
Ballintubber GAA Club,57,Mayo,Connacht,Ireland,53.75756500,-9.30767500,Yes
Bonniconlon GAA,56,Mayo,Connacht,Ireland,54.10808400,-9.02418000,Yes
Clans,55,,,Ireland,,,No
Killeagh,55,Cork,Munster,Ireland,51.94039800,-8.00262300,Yes
Clanna Gael Fontenoy GAA,54,,,Ireland,,,No
Laragh United,54,Cavan,Ulster,Ireland,53.98305100,-7.23714700,Yes
Celbridge GAA,53,Kildare,Leinster,Ireland,53.33126100,-6.52801200,Yes
Belcoo,53,,,Ireland,,,No
Castlewellan GAC,53,,,Ireland,,,No
Ballinteer St Johns GAA Club Dublin,53,,,Ireland,,,No
Ballymore Eustace GAA,53,Kildare,Leinster,Ireland,53.12997400,-6.58714200,Yes
Clann na nGael GAA Club,52,Meath,Leinster,Ireland,53.62691100,-6.91054200,Yes
Kilbride GFC,52,,,Ireland,,,No
Killybegs GAA,51,Donegal,Ulster,Ireland,54.63816600,-8.48533100,Yes
Blessington GAA,51,Wicklow,Leinster,Ireland,53.18093400,-6.53889900,Yes
Carbery Rangers,51,Cork,Munster,Ireland,51.58497300,-9.02521400,Yes
Atticall GAC,51,,,Ireland,,,No
Canovee GAA,48,Cork,Munster,Ireland,51.90270600,-8.85386400,Yes
Carrigaline GAA,48,Cork,Munster,Ireland,51.81156400,-8.38015700,Yes
Maghery Sean Mc Dermotts,47,,,Ireland,,,No
Leixlip GAA,47,Kildare,Leinster,Ireland,53.36442000,-6.50262900,Yes
Liatroim Fontenoys,47,,,Ireland,,,No
Moy Davitts GAA Club,46,,,Ireland,,,No
Beragh Red Knights,45,Tyrone,Ulster,United Kingdom,54.54966600,-7.15241700,Yes
Lavey GFC,45,,,Ireland,,,No
Milltown Gaa,45,Galway,Connacht,Ireland,53.61458000,-8.90446800,Yes
Longstone,45,Down,Ulster,United Kingdom,54.11024900,-5.93324500,Yes
Annacurra GAA,45,Wicklow,Leinster,Ireland,52.84160700,-6.35394800,Yes
Knockbride GAA,45,Cavan,Ulster,Ireland,53.97789700,-7.05797600,Yes
Clogher GAC,44,,,Ireland,,,No
Mayobridge GAC,43,,,Ireland,,,No
Killoe,43,,,Ireland,,,No
Maynooth Gaa,42,Kildare,Leinster,Ireland,53.38807300,-6.59988700,Yes
Burrishoole GAA,42,Mayo,Connacht,Ireland,53.88821300,-9.54055600,Yes
Kilglass,41,,,Ireland,,,No
Clonduff GAC,40,,,Ireland,,,No
Bornacoola GAA,40,Leitrim,Connacht,Ireland,53.86110800,-7.91320600,Yes
Bryansford GAC,40,,,Ireland,,,No
Annascaul,40,Kerry,Munster,Ireland,52.15306600,-10.04768500,Yes
Castle,39,,,Ireland,,,No
Limerick GAA,39,Limerick,Munster,Ireland,52.67009700,-8.65650400,Yes
Michael Glavey's GAA,38,Roscommon,Connacht,Ireland,53.75170800,-8.63354300,Fuzzy
Monasterevan Gfc,38,,,Ireland,,,No
Kilkenny GAA,38,Kilkenny,Leinster,Ireland,52.65632400,-7.24195100,Yes
Clonoe O'Rahilly's,37,,,Ireland,,,No
Leitrim Gaels GAA,37,Leitrim,Connacht,Ireland,53.99729600,-8.05649690,Yes
Ballinabrackey GAA,37,Meath,Leinster,Ireland,53.39638700,-7.10849400,Yes
Ballymote Gaa,37,Sligo,Connacht,Ireland,54.09554500,-8.51951800,Yes
Kilcock GAA,37,Kildare,Leinster,Ireland,53.39414600,-6.66753600,Yes
Ardoyne GAC,36,,,Ireland,,,No
Kildare GAA,36,Kildare,Leinster,Ireland,53.17957500,-6.79698000,Yes
Kilmacs,36,,,Ireland,,,No
Kilgarvan GAA Hurling & Football Club,35,,,Ireland,,,No
Charlestown Sarsfields GAA,34,Mayo,Connacht,Ireland,53.95883000,-8.80540000,Yes
Louth LGFA (Temple),34,,,Ireland,,,No
Man OWar,34,,,Ireland,,,No
Ardee St Marys,34,Cork,Munster,Ireland,51.73542000,-8.93735900,Fuzzy
Castleconnor Gaa Club,34,Sligo,Connacht,Ireland,54.16608700,-9.07763800,Yes
Castledermot GAA,34,Kildare,Leinster,Ireland,52.91072800,-6.84468900,Yes
Eire Og Annacarty Donohill Camogie,34,,,Ireland,,,No
Avoca GAA,34,Wicklow,Leinster,Ireland,52.85374300,-6.21591900,Yes
Kickhams,34,,,Ireland,,,No
Brookeborough Heber Mac Mahons GAC,33,,,Ireland,,,No
Annaclone GAC,32,,,Ireland,,,No
Annaduff GAA,32,Leitrim,Connacht,Ireland,53.89416200,-7.95129900,Yes
Killarney Legion,32,Kerry,Munster,Ireland,52.07261500,-9.50859100,Yes
Killererin GAA club,32,Galway,Connacht,Ireland,53.48176000,-8.72234000,Yes
Killyman,32,,,Ireland,,,No
Kilmainham,32,Meath,Leinster,Ireland,53.71099500,-6.82731700,Yes
Ballinamore SOH GAA Club,31,,,Ireland,,,No
Keel gaa,31,Kerry,Munster,Ireland,52.17248600,-9.77394600,Yes
Lucan Sarsfields,30,Dublin,Leinster,Ireland,53.33113800,-6.45991400,Yes
Kilbride GAA Club,30,Wicklow,Leinster,Ireland,53.19752000,-6.46927600,Yes
BELLAGHY WOLFE TONES GAA,29,Meath,Leinster,Ireland,53.69972200,-6.68220300,Fuzzy
Maynooth GAA Senior Football,29,,,Ireland,,,No
Kilcormac Killoughey GAA Club,29,Offaly,Leinster,Ireland,53.17637200,-7.73265400,Yes
Kilkenny Senior Hurling,29,,,Ireland,,,No
Bailieborough Shamrocks GAA,28,Cavan,Ulster,Ireland,53.92576500,-6.96982700,Yes
Kilconly GAA Club,28,Galway,Connacht,Ireland,53.55440000,-8.91196000,Yes
Killeedy,28,Limerick,Munster,Ireland,52.37716900,-9.04247100,Yes
Clann na Banna CLG,27,Down,Ulster,United Kingdom,54.34937100,-6.28202300,Fuzzy
Mungret St Paul's GAA,27,Limerick,Munster,Ireland,52.63461200,-8.68834800,Yes
Ballykelly,27,Kildare,Leinster,Ireland,53.15679200,-7.05305000,Yes
Ardmore,26,Waterford,Munster,Ireland,51.95835500,-7.72769700,Yes
Monaghan Harps,26,Monaghan,Ulster,Ireland,54.24919300,-6.96148000,Yes
An Tochar GAA Club,26,Wicklow,Leinster,Ireland,53.05926300,-6.22998300,Yes
Boyle Celtic,25,,,Ireland,,,No
Cappincur Gaa Club,25,Offaly,Leinster,Ireland,53.27375100,-7.44987500,Yes
Gowna,25,Cavan,Ulster,Ireland,53.86601000,-7.55006700,Yes
Mayfield,24,Cork,Munster,Ireland,51.91089900,-8.41672100,Yes
Keady Dwyers Senior Men,24,,,Ireland,,,No
Kill gaa,24,Waterford,Munster,Ireland,52.17827800,-7.33651400,Yes
Board Member GAA,23,,,Ireland,,,No
Longford GAA Underage,23,,,Ireland,,,No
Athgarvan,22,Kildare,Leinster,Ireland,53.14889900,-6.80098900,Yes
Mountmellick GAA,22,Laois,Leinster,Ireland,53.10363200,-7.30388800,Yes
Aughnamullen Gaa,22,,,Ireland,,,No
Caherlistrane GAA,21,Galway,Connacht,Ireland,53.49120200,-9.01954000,Yes
Ballianagar GAA Ireland,21,,,Ireland,,,No
Leighlinbridge GFC,20,,,Ireland,,,No
Ballyboughal GFC,20,,,Ireland,,,No
Clara GAA Club,19,Offaly,Leinster,Ireland,53.33956500,-7.63238200,Yes
Breaffy GAA,19,Mayo,Connacht,Ireland,53.84562900,-9.23378900,Yes
Caragh,19,Kildare,Leinster,Ireland,53.28376100,-6.76284500,Yes
Cashel,19,Longford,Leinster,Ireland,53.58454400,-7.93696500,Yes
Cárna Caiseal,18,Galway,Connacht,Ireland,53.32337700,-9.83014000,Fuzzy
Belleek GAA,18,,,Ireland,,,No
Macroom GAA,17,Cork,Munster,Ireland,51.90233500,-8.97347700,Yes
Askeaton/Ballysteen/Kilcornan,17,,,Ireland,,,No
Carrickmacross Hurling Club,17,,,Ireland,,,No
Mullingar Shamrocks,17,Westmeath,Leinster,Ireland,53.53070900,-7.33215400,Yes
Limavady Wolfhounds GAC,17,Derry,Ulster,United Kingdom,55.05048100,-6.93657100,Fuzzy
Clonmore Robert Emmets GAA,16,Donegal,Ulster,Ireland,54.80122500,-7.57334500,Fuzzy
Madden,16,,,Ireland,,,No
Carnmore Camogie Club,16,,,Ireland,,,No
Castleblayney Faughs,16,Monaghan,Ulster,Ireland,54.11270000,-6.73108600,Yes
Moynalvey GFC,16,,,Ireland,,,No
Ardboe O'Donovan Rossa GFC,15,,,Ireland,,,No
Mullahoran GFC,15,,,Ireland,,,No
Longford GAA Seniors,15,,,Ireland,,,No
Ballinascarthy GAA,15,Cork,Munster,Ireland,51.66667800,-8.83162100,Yes
Barrow Rangers GAA,15,Kilkenny,Leinster,Ireland,52.68369200,-7.02696600,Yes
Kilnadeema Leitrim,15,,,Ireland,,,No
Kinawley Brian Borus,15,,,Ireland,,,No
Clogherinkoe,14,Kildare,Leinster,Ireland,53.39008800,-6.99670700,Yes
Ballymachugh,14,Cavan,Ulster,Ireland,53.83584100,-7.35314800,Yes
Kinsale GAA,14,Cork,Munster,Ireland,51.71046500,-8.53246800,Yes
Ardnaree Sarsfields Clubhouse,13,Mayo,Connacht,Ireland,54.11177600,-9.14224400,Fuzzy
Ballyhaunis GAA,13,Mayo,Connacht,Ireland,53.76339900,-8.79207800,Yes
Shamrock,12,,,Ireland,,,No
Kilmore GAA,12,Roscommon,Connacht,Ireland,53.87509480,-8.05225400,Yes
The Bens,11,,,Ireland,,,No
Limerick Camogie,11,,,Ireland,,,No
Kildallan GAA,10,Cavan,Ulster,Ireland,54.11959700,-7.58463900,Yes
Kilmovee Shamrocks GAA,10,Mayo,Connacht,Ireland,53.88605000,-8.67848000,Yes
